FlSort,FlCde,Fleet,Flotte,Year/An,TFCde,TypeFishery,TypePêcherie,GrSort,GrCde,Gear,Engin,GrGroup,GrGroupe,GrMult,ClassLow,ClassHigh,ClassTypeCode,CLass type,noBoats_nBateaux,Fgrounds
49,"THA    ",THAILAND,THAÏLANDE,1996,ART,Artisanal Fishing,Pêcheries artisanales,1,PSS,Small purse seine,Senneur côtier,Purse Seine,Senne tournante,0,1,14,LOA,Length overall,17,"ALL    "
49,"THA    ",THAILAND,THAÏLANDE,1996,ART,Artisanal Fishing,Pêcheries artisanales,1,PSS,Small purse seine,Senneur côtier,Purse Seine,Senne tournante,0,14,25,LOA,Length overall,178,"ALL    "
49,"THA    ",THAILAND,THAÏLANDE,1996,ART,Artisanal Fishing,Pêcheries artisanales,1,PSS,Small purse seine,Senneur côtier,Purse Seine,Senne tournante,0,25,40,LOA,Length overall,3,"ALL    "
1,"AUS    ",AUSTRALIA,AUSTRALIE,1996,ART,Artisanal Fishing,Pêcheries artisanales,6,SPOR,Sport fishing,Pêche sportive,Line,Lignes,0,4,20,LOA,Length overall,6,PELAGIC
1,"AUS    ",AUSTRALIA,AUSTRALIE,1996,ART,Artisanal Fishing,Pêcheries artisanales,9,TRAP,Trap,Madragues,Other,Autres,0,4,20,LOA,Length overall,3,COASTAL
1,"AUS    ",AUSTRALIA,AUSTRALIE,1996,IND,Industrial Fishing,Pêcheries industrielles,9,TRAW,Trawl,Chaluts,Other,Autres,0,10,40,LOA,Length overall,34,COASTAL
11,"ERI    ",ERITREA,ERYTHRÉE,1996,ART,Artisanal Fishing,Pêcheries artisanales,9,TRAW,Trawl,Chaluts,Other,Autres,0,NULL,NULL,UNCL,Unclassified,7,COASTAL
32,"MYS    ",MALAYSIA,MALAISIE,1996,ART,Artisanal Fishing,Pêcheries artisanales,9,TRAW,Trawl,Chaluts,Other,Autres,0,10,70,GRT,Gross Registered Tonnage,2796,COASTAL
1,"AUS    ",AUSTRALIA,AUSTRALIE,1996,ART,Artisanal Fishing,Pêcheries artisanales,6,TROL,Troll line,Ligne de traîne,Line,Lignes,0,4,20,LOA,Length overall,65,PELAGIC
32,"MYS    ",MALAYSIA,MALAISIE,1996,ART,Artisanal Fishing,Pêcheries artisanales,6,TROL,Troll line,Ligne de traîne,Line,Lignes,0,1,10,GRT,Gross Registered Tonnage,252,COASTAL
33,"MDV    ",MALDIVES,MALDIVES,1996,ART,Artisanal Fishing,Pêcheries artisanales,6,TROL,Troll line,Ligne de traîne,Line,Lignes,0,5,10,LOA,Length overall,225,PELAGIC
1,"AUS    ",AUSTRALIA,AUSTRALIE,1996,ART,Artisanal Fishing,Pêcheries artisanales,9,UNCL,Unclassified,Non classé,Other,Autres,1,4,20,LOA,Length overall,1,COASTAL
41,"SAU    ",SAUDI ARABIA,ARABIE SAOUDITE,1996,ART,Artisanal Fishing,Pêcheries artisanales,9,UNCL,Unclassified,Non classé,Other,Autres,1,5,25,LOA,Length overall,7157,COASTAL
46,"LKA    ",SRI LANKA,SRI LANKA,1996,ART,Artisanal Fishing,Pêcheries artisanales,9,UNCL,Unclassified,Non classé,Other,Autres,1,1,8,LOA,Length overall,22907,"ALL    "
46,"LKA    ",SRI LANKA,SRI LANKA,1996,ART,Artisanal Fishing,Pêcheries artisanales,9,UNCL,Unclassified,Non classé,Other,Autres,1,8,9,LOA,Length overall,2893,"ALL    "
33,"MDV    ",MALDIVES,MALDIVES,1997,ART,Artisanal Fishing,Pêcheries artisanales,3,BB,Baitboat,Canne,Baitboat,Canne,0,10,15,LOA,Length overall,1337,PELAGIC
1,"AUS    ",AUSTRALIA,AUSTRALIE,1997,IND,Industrial Fishing,Pêcheries industrielles,3,BBPS,Baitboat and purse seine,Canne et senne tournante,Baitboat,Canne,1,20,50,LOA,Length overall,21,PELAGIC
1,"AUS    ",AUSTRALIA,AUSTRALIE,1997,IND,Industrial Fishing,Pêcheries industrielles,5,ELL,Longline targeting swordfish,Palangre à espadon,Longline,Palangre,0,15,24,LOA,Length overall,4,PELAGIC
1,"AUS    ",AUSTRALIA,AUSTRALIE,1997,IND,Industrial Fishing,Pêcheries industrielles,5,ELL,Longline targeting swordfish,Palangre à espadon,Longline,Palangre,0,24,40,LOA,Length overall,4,PELAGIC
1,"AUS    ",AUSTRALIA,AUSTRALIE,1997,IND,Industrial Fishing,Pêcheries industrielles,5,ELL,Longline targeting swordfish,Palangre à espadon,Longline,Palangre,0,40,60,LOA,Length overall,1,PELAGIC
15,"EUREU  ",EU.FRANCE.REUNION,UE.FRANCE.RÉUNION,1997,IND,Industrial Fishing,Pêcheries industrielles,5,ELL,Longline targeting swordfish,Palangre à espadon,Longline,Palangre,0,0,15,LOA,Length overall,14,PELAGIC
15,"EUREU  ",EU.FRANCE.REUNION,UE.FRANCE.RÉUNION,1997,IND,Industrial Fishing,Pêcheries industrielles,5,ELL,Longline targeting swordfish,Palangre à espadon,Longline,Palangre,0,15,24,LOA,Length overall,9,PELAGIC
15,"EUREU  ",EU.FRANCE.REUNION,UE.FRANCE.RÉUNION,1997,IND,Industrial Fishing,Pêcheries industrielles,5,ELL,Longline targeting swordfish,Palangre à espadon,Longline,Palangre,0,24,40,LOA,Length overall,2,PELAGIC
19,"EUESP  ",EU.SPAIN,UE.ESPAGNE,1997,IND,Industrial Fishing,Pêcheries industrielles,5,ELL,Longline targeting swordfish,Palangre à espadon,Longline,Palangre,0,24,40,LOA,Length overall,1,PELAGIC
19,"EUESP  ",EU.SPAIN,UE.ESPAGNE,1997,IND,Industrial Fishing,Pêcheries industrielles,5,ELL,Longline targeting swordfish,Palangre à espadon,Longline,Palangre,0,40,60,LOA,Length overall,1,PELAGIC
